command line args: /home/flo/Dokumente/Master_GuidedResearch/state_space_model_trainer.py --latent-space-model sSSM --lr 0.0005 --skip-frames 4 --weight-decay 0 --render --load-policy-model --batch-size 5 --sample-memory-size 50 --rollout-steps 10

Updates 263, num timesteps 1320, FPS 33, frame loss 0.46961, reward loss 0.93567, pred reward 0.00000, reward 0.00000, time 0.65865 min
Updates 265, num timesteps 1330, FPS 33, frame loss 0.46899, reward loss 0.93575, pred reward 0.00000, reward 0.00000, time 0.66282 min
Updates 267, num timesteps 1340, FPS 33, frame loss 0.46837, reward loss 0.93587, pred reward 0.00000, reward 0.00000, time 0.66698 min
Updates 269, num timesteps 1350, FPS 33, frame loss 0.46775, reward loss 0.93588, pred reward 0.00000, reward 0.00000, time 0.67126 min
Updates 269, num timesteps 1350, FPS 33, frame loss 0.46775, reward loss 0.93588, pred reward 0.00000, reward 0.00000, time 0.67137 min
Updates 271, num timesteps 1360, FPS 33, frame loss 0.46711, reward loss 0.93593, pred reward 0.00000, reward 0.00000, time 0.67969 min
Updates 273, num timesteps 1370, FPS 33, frame loss 0.46651, reward loss 0.93590, pred reward 0.00000, reward 0.00000, time 0.68383 min
Updates 275, num timesteps 1380, FPS 33, frame loss 0.46590, reward loss 0.93586, pred reward 0.00000, reward 0.00000, time 0.68807 min
Updates 277, num timesteps 1390, FPS 33, frame loss 0.46531, reward loss 0.93590, pred reward 0.00000, reward 0.00000, time 0.69224 min
Updates 279, num timesteps 1400, FPS 33, frame loss 0.46471, reward loss 0.93598, pred reward 0.00000, reward 0.00000, time 0.69642 min
Updates 279, num timesteps 1400, FPS 33, frame loss 0.46471, reward loss 0.93598, pred reward 0.00000, reward 0.00000, time 0.69655 min
Updates 281, num timesteps 1410, FPS 33, frame loss 0.46410, reward loss 0.93596, pred reward 0.00000, reward 0.00000, time 0.70463 min
Updates 283, num timesteps 1420, FPS 33, frame loss 0.46351, reward loss 0.93597, pred reward 0.00000, reward 0.00000, time 0.70884 min
Updates 285, num timesteps 1430, FPS 33, frame loss 0.46293, reward loss 0.93611, pred reward 0.00000, reward 0.00000, time 0.71299 min
Updates 287, num timesteps 1440, FPS 33, frame loss 0.46235, reward loss 0.93634, pred reward 0.00000, reward 0.00000, time 0.71716 min
Updates 289, num timesteps 1450, FPS 33, frame loss 0.46177, reward loss 0.93644, pred reward 0.00000, reward 0.00000, time 0.72135 min
Updates 289, num timesteps 1450, FPS 33, frame loss 0.46177, reward loss 0.93644, pred reward 0.00000, reward 0.00000, time 0.72146 min
Updates 291, num timesteps 1460, FPS 33, frame loss 0.46119, reward loss 0.93634, pred reward 0.00000, reward 0.00000, time 0.72923 min
Updates 293, num timesteps 1470, FPS 33, frame loss 0.46063, reward loss 0.93638, pred reward 0.00000, reward 0.00000, time 0.73337 min
Updates 295, num timesteps 1480, FPS 33, frame loss 0.46011, reward loss 0.93637, pred reward 0.00000, reward 0.00000, time 0.73765 min
Updates 297, num timesteps 1490, FPS 33, frame loss 0.45956, reward loss 0.93641, pred reward 0.00000, reward 0.00000, time 0.74182 min
Updates 299, num timesteps 1500, FPS 33, frame loss 0.45904, reward loss 0.93652, pred reward 0.00000, reward 0.00000, time 0.74598 min
Updates 299, num timesteps 1500, FPS 33, frame loss 0.45904, reward loss 0.93652, pred reward 0.00000, reward 0.00000, time 0.74609 min
Updates 301, num timesteps 1510, FPS 33, frame loss 0.45853, reward loss 0.93663, pred reward 0.00000, reward 0.00000, time 0.75417 min
Updates 303, num timesteps 1520, FPS 33, frame loss 0.45801, reward loss 0.93664, pred reward 0.00000, reward 0.00000, time 0.75852 min
Updates 305, num timesteps 1530, FPS 33, frame loss 0.45750, reward loss 0.93662, pred reward 0.00000, reward 0.00000, time 0.76268 min
Updates 307, num timesteps 1540, FPS 33, frame loss 0.45703, reward loss 0.93679, pred reward 0.00000, reward 0.00000, time 0.76685 min
Updates 309, num timesteps 1550, FPS 33, frame loss 0.45655, reward loss 0.93691, pred reward 0.00000, reward 0.00000, time 0.77100 min
Updates 309, num timesteps 1550, FPS 33, frame loss 0.45655, reward loss 0.93691, pred reward 0.00000, reward 0.00000, time 0.77111 min
Updates 311, num timesteps 1560, FPS 33, frame loss 0.45606, reward loss 0.93704, pred reward 0.00000, reward 0.00000, time 0.77947 min
Updates 313, num timesteps 1570, FPS 33, frame loss 0.45558, reward loss 0.93715, pred reward 0.00000, reward 0.00000, time 0.78366 min
Updates 315, num timesteps 1580, FPS 33, frame loss 0.45512, reward loss 0.93728, pred reward 0.00000, reward 0.00000, time 0.78782 min
Updates 317, num timesteps 1590, FPS 33, frame loss 0.45466, reward loss 0.93733, pred reward 0.00000, reward 0.00000, time 0.79203 min
Updates 319, num timesteps 1600, FPS 33, frame loss 0.45421, reward loss 0.93744, pred reward 0.00000, reward 0.00000, time 0.79619 min
Updates 319, num timesteps 1600, FPS 33, frame loss 0.45421, reward loss 0.93744, pred reward 0.00000, reward 0.00000, time 0.79630 min
Updates 321, num timesteps 1610, FPS 33, frame loss 0.45375, reward loss 0.93750, pred reward 0.00000, reward 0.00000, time 0.80468 min
Updates 323, num timesteps 1620, FPS 33, frame loss 0.45330, reward loss 0.93757, pred reward 0.00000, reward 0.00000, time 0.80895 min
Updates 325, num timesteps 1630, FPS 33, frame loss 0.45285, reward loss 0.93775, pred reward 0.00000, reward 0.00000, time 0.81312 min
Updates 327, num timesteps 1640, FPS 33, frame loss 0.45241, reward loss 0.93773, pred reward 0.00000, reward 0.00000, time 0.81731 min
Updates 329, num timesteps 1650, FPS 33, frame loss 0.45198, reward loss 0.93788, pred reward 0.00000, reward 0.00000, time 0.82146 min
Updates 329, num timesteps 1650, FPS 33, frame loss 0.45198, reward loss 0.93788, pred reward 0.00000, reward 0.00000, time 0.82158 min
Updates 331, num timesteps 1660, FPS 33, frame loss 0.45156, reward loss 0.93794, pred reward 0.00000, reward 0.00000, time 0.82963 min
